"ID","NAME","LVL","YEAR","ORGS","G","GS","IP","ERA","WOBA","FIP","BABIP","LD_RATE","GB_RATE","FB_RATE","HR_FB","BB_RATE","SO_RATE","NITRORATE","SWM","CHASERATE","EV_70"
4224,"Miller, Shelby",AAA,2022,"NYY, SF",40,1,50.1,2.68,0.271892233,3.426,0.267241,0.219512,0.333333,0.333333,0.076923,0.095694,0.315789,16.700,28.600,26.700,89.2422541140243
111841255,"Candelario, A.J.",A,2022,"MIA, WAS",9,0,11.1,4.76,0.3666207547,3.831,0.391304,0.32,0.32,0.2,0.125,0.166667,0.37037,20.800,38.100,25.600,85.75125600000001
111816497,"Shuman, Seth",A+,2021,"OAK, WAS",21,19,90.1,3.69,0.3179585752,4.383,0.302041,0.223938,0.312741,0.30888,0.101695,0.065963,0.245383,19.100,23.200,32.100,89.46516899999997
110816226,"Stephenson, Robert",MLB,2022,"COL, PIT",46,0,45.2,5.91,0.366194,4.613,0.323944,0.291391,0.264901,0.324503,0.121212,0.064677,0.189055,26.700,23.200,31.300,93.22962017705512
110290363,"Valdez, Phillips",AAA,2022,"BOS, SEA",23,0,26.0,3.46,0.3453814159,4.91,0.318182,0.169014,0.56338,0.197183,0.125,0.166667,0.22807,8.800,22.500,22.200,86.55582274658013
76120568,"Scherzer, Max",MLB,2021,"LA, WAS",30,30,179.1,2.46,0.2520560058,2.928,0.247423,0.223558,0.346154,0.319712,0.132184,0.051948,0.340548,19.100,31.800,30.500,90.01413940879608
110294440,"Sanchez, Aaron",MLB,2022,"MIN, WAS",10,10,44.0,7.16,0.3970331658,4.592,0.38255,0.2125,0.51875,0.21875,0.157895,0.059701,0.149254,20.300,18.400,30.800,95.58306386955772
111795851,"Howard, Sam",AAA,2022,"DET, PIT",30,1,26.2,3.38,0.3235752294,5.802,0.216667,0.121212,0.469697,0.272727,0.222222,0.12844,0.266055,18.200,28.900,23.900,91.18192
111825664,"Crispin, Francisco",Rk-,2022,BAL,10,2,26.2,5.4,0.4142083969,3.783,0.37931,0.271186,0.457627,0.237288,0.0,0.159091,0.151515,6.800,18.700,19.800,88.53247799999998
111792770,"Moll, Sam",AAA,2021,"ARI, OAK",33,0,35.1,4.58,0.3305448718,4.926,0.317073,0.238636,0.5,0.227273,0.227273,0.128205,0.301282,16.100,30.800,24.600,94.111706
110847047,"Junis, Jake",Rk,2021,KC,3,3,5.1,5.06,0.4192083333,3.11,0.533333,0.3125,0.375,0.1875,0.2,0.0,0.333333,18.800,37.800,37.100,94.762055
