"playerid","ip","name","projyear","percentile","war"
"2911",26.981983805668,Oliver Drake,2023.0,pct20,-0.227059453312189
"2911",28.1182,Oliver Drake,2023.0,pct50,0.105164437354439
"2911",29.2021956087824,Oliver Drake,2023.0,pct80,0.402740845795697
"3213",43.5518,Tommy Kahnle,2023.0,pct20,0.0934118786362562
"3213",44.7989959839357,Tommy Kahnle,2023.0,pct50,0.490736147935428
"3213",46.0206963249516,Tommy Kahnle,2023.0,pct80,0.856206153100385
"3339",37.9032,Kirby Yates,2023.0,pct20,0.14023942405414
"3339",39.1784,Kirby Yates,2023.0,pct50,0.52614834184098
"3339",40.2842629482072,Kirby Yates,2023.0,pct80,0.874032796161244
"4189",25.3575150300601,Tyler Thornburg,2023.0,pct20,-0.338214383495761
"4189",26.6031936127745,Tyler Thornburg,2023.0,pct50,-0.0148550461990801
"4189",27.559437751004,Tyler Thornburg,2023.0,pct80,0.29670747883158
"37458",28.7861445783133,Hector Rondon,2023.0,pct20,-0.298619830023917
"37458",30.0077844311377,Hector Rondon,2023.0,pct50,0.0401433993149106
"37458",30.8832,Hector Rondon,2023.0,pct80,0.355600468517043
"40238",26.4376753507014,Jared Hughes,2023.0,pct20,-0.321471224524451
"40238",27.7209900990099,Jared Hughes,2023.0,pct50,-0.00290121711328435
"40238",28.5708835341365,Jared Hughes,2023.0,pct80,0.291778165233792
"47617",26.5986,Jeremy Jeffress,2023.0,pct20,-0.253916057013932
"47617",27.850297029703,Jeremy Jeffress,2023.0,pct50,0.0706307375759838
"47617",28.8396414342629,Jeremy Jeffress,2023.0,pct80,0.375497867638957
"76118208",27.586,Juan Nicasio,2023.0,pct20,-0.296927592195271
"76118208",28.6800399201597,Juan Nicasio,2023.0,pct50,0.0477401818009538
"76118208",29.6100200400802,Juan Nicasio,2023.0,pct80,0.348853745997954
"76118351",26.1579797979798,Wilmer Font,2023.0,pct20,-0.309816476332437
"76118351",27.3674,Wilmer Font,2023.0,pct50,0.0222134665714855
"76118351",28.4462151394422,Wilmer Font,2023.0,pct80,0.329493999408436
"76118830",27.3296,Kelvin Herrera,2023.0,pct20,-0.33893265626508
"76118830",28.3753036437247,Kelvin Herrera,2023.0,pct50,-0.00257044264985761
"76118830",29.5474,Kelvin Herrera,2023.0,pct80,0.325173544354809
"76119025",25.3211155378486,Cory Gearrin,2023.0,pct20,-0.324804116109341
"76119025",26.5316532258065,Cory Gearrin,2023.0,pct50,-0.00338636608491969
"76119025",27.4542168674699,Cory Gearrin,2023.0,pct80,0.290299864338462
"109502281",27.7424,Raymond Black,2023.0,pct20,-0.176460826691389
"109502281",28.9481037924152,Raymond Black,2023.0,pct50,0.150586792490589
"109502281",29.9328,Raymond Black,2023.0,pct80,0.47368907718681
"109503808",27.9545090180361,Matt Magill,2023.0,pct20,-0.257930559479947
"109503808",29.0765531062124,Matt Magill,2023.0,pct50,0.0854952444150387
"109503808",29.9962,Matt Magill,2023.0,pct80,0.397267867817895
"110294325",28.2667364016736,Trevor Rosenthal,2023.0,pct20,-0.0558812301145824
"110294325",29.3907815631263,Trevor Rosenthal,2023.0,pct50,0.285888127697343
"110294325",30.466,Trevor Rosenthal,2023.0,pct80,0.581736578009739
"110294439",43.6414682539683,Ken Giles,2023.0,pct20,0.0142070763845096
"110294439",44.8570858283433,Ken Giles,2023.0,pct50,0.426230273685535
"110294439",46.271,Ken Giles,2023.0,pct80,0.81116853390078
"110294500",25.6838,Dovydas Neverauskas,2023.0,pct20,-0.250522264116013
"110294500",26.8635270541082,Dovydas Neverauskas,2023.0,pct50,0.0726539418825778
"110294500",27.778,Dovydas Neverauskas,2023.0,pct80,0.373962580721688
"110847817",28.3798403193613,Luis Perdomo,2023.0,pct20,-0.271541796995812
"110847817",29.613453815261,Luis Perdomo,2023.0,pct50,0.0531946958495153
"110847817",30.5944111776447,Luis Perdomo,2023.0,pct80,0.363612984577595
"111128023",31.4560483870968,Jose Leclerc,2023.0,pct20,0.0140949409747486
"111128023",32.707171314741,Jose Leclerc,2023.0,pct50,0.370706329914904
"111128023",33.6919839679359,Jose Leclerc,2023.0,pct80,0.688686127123571
"111210045",29.8359437751004,Nick Burdi,2023.0,pct20,-0.0657494781281287
"111210045",31.0219123505976,Nick Burdi,2023.0,pct50,0.290800988061908
"111210045",32.1015065913371,Nick Burdi,2023.0,pct80,0.606108496696256
"111210747",24.9782696177062,Cy Sneed,2023.0,pct20,-0.300536403444515
"4453",128.361876247505,Steve Matz,2023.0,pct80,2.15969836811999
"111210747",26.123246492986,Cy Sneed,2023.0,pct50,0.0248221316201954
"111210747",27.1710261569417,Cy Sneed,2023.0,pct80,0.321565977181918
"111453993",25.3834331337325,James Bourque,2023.0,pct20,-0.35397898304813
"111453993",26.705,James Bourque,2023.0,pct50,-0.0230712306135028
"111453993",27.6517034068136,James Bourque,2023.0,pct80,0.272020495803151
"111499647",31.8192,Roberto Osuna,2023.0,pct20,-0.120305439682415
"111499647",32.8551102204409,Roberto Osuna,2023.0,pct50,0.235053854966722
"111499647",33.9286852589641,Roberto Osuna,2023.0,pct80,0.563746451672754
"111766006",26.246812749004,Jimmy Cordero,2023.0,pct20,-0.306458586188028
"111766006",27.4857715430862,Jimmy Cordero,2023.0,pct50,0.0262921419271845
"111766006",28.4909819639279,Jimmy Cordero,2023.0,pct80,0.33022635870986
"111766915",34.9224448897796,Trey Wingenter,2023.0,pct20,-0.149596369778228
"111766915",36.4430555555556,Trey Wingenter,2023.0,pct50,0.216752788505001
"111766915",37.438,Trey Wingenter,2023.0,pct80,0.53699092055405
"111768540",29.2707171314741,Yoshihisa Hirano,2023.0,pct20,-0.30367488371771
"111768540",30.4846,Yoshihisa Hirano,2023.0,pct50,0.0509246333305516
"111768540",31.4516,Yoshihisa Hirano,2023.0,pct80,0.367627528977105
"111768793",25.664859437751,Ben Heller,2023.0,pct20,-0.241563323953246
"111768793",26.7907444668008,Ben Heller,2023.0,pct50,0.0792959163778971
"111768793",27.7731313131313,Ben Heller,2023.0,pct80,0.369996966122973
"111792787",29.116,Ty Buttrey,2023.0,pct20,-0.19254745506691
"111792787",29.9721442885772,Ty Buttrey,2023.0,pct50,0.125890713520824
"111792787",31.0993987975952,Ty Buttrey,2023.0,pct80,0.435258849367009
"111792933",25.216,Mike Morin,2023.0,pct20,-0.3937145172252
"111792933",26.4003984063745,Mike Morin,2023.0,pct50,-0.0711858531913364
"111792933",27.4610778443114,Mike Morin,2023.0,pct80,0.235821816678504
"111792952",26.7306,Luke Bard,2023.0,pct20,-0.313593258163457
"111792952",27.8214859437751,Luke Bard,2023.0,pct50,0.027316540671707
"111792952",29.0043650793651,Luke Bard,2023.0,pct80,0.340279314380488
"111793332",25.2896341463415,Branden Kline,2023.0,pct20,-0.312406368563586
"111793332",26.4790419161677,Branden Kline,2023.0,pct50,0.00471140330982497
"111793332",27.5748502994012,Branden Kline,2023.0,pct80,0.315728189894908
"111795707",23.4795180722892,Justin Shafer,2023.0,pct20,-0.364914173922417
"111795707",24.600998003992,Justin Shafer,2023.0,pct50,-0.039652429768409
"111795707",25.5573440643863,Justin Shafer,2023.0,pct80,0.252295186363535
"111797071",27.034592445328,David McKay,2023.0,pct20,-0.170375699199355
"111797071",28.2729083665339,David McKay,2023.0,pct50,0.156892782740801
"111797071",29.2222891566265,David McKay,2023.0,pct80,0.460103314339244
"111797260",27.4518218623482,Jonathan Hernandez,2023.0,pct20,-0.206831654782525
"111797260",28.645738045738,Jonathan Hernandez,2023.0,pct50,0.127684860236828
"111797260",29.7362725450902,Jonathan Hernandez,2023.0,pct80,0.425256977533975
"111801550",23.4070140280561,Jeff Brigham,2023.0,pct20,-0.329724270153703
"111801550",24.5744047619048,Jeff Brigham,2023.0,pct50,-0.00860325078353488
"111801550",25.487624750499,Jeff Brigham,2023.0,pct80,0.29639360292573
"111805566",19.6489021956088,Fredy Medina,2023.0,pct20,-0.553833563098421
"111805566",21.3187878787879,Fredy Medina,2023.0,pct50,-0.210019372311913
"111805566",22.6602409638554,Fredy Medina,2023.0,pct80,0.121060092558416
"111806076",20.2834661354582,Ryan Halstead,2023.0,pct20,-0.419354518686028
"111806076",21.2584645669291,Ryan Halstead,2023.0,pct50,-0.125935867817868
