"ID","NAME","LVL","YEAR","ORGS","G","GS","IP","ERA","WOBA","FIP","BABIP","LD_RATE","GB_RATE","FB_RATE","HR_FB","BB_RATE","SO_RATE","NITRORATE","SWM","CHASERATE","EV_70"
111819295,"Sanchez, Yosber",Rk-,2021,TEX,12,0,13.0,2.08,0.3548765625,3.518,0.322581,0.285714,0.392857,0.214286,0.0,0.203125,0.296875,0.000,39.100,28.000,86.08975960000004
111831065,"Brown, Blake",AA,2021,PHI,1,0,1.0,0.0,0.30176,7.517,0.0,0.0,1.0,0.0,,0.4,0.2,0.000,44.400,18.800,85.06073950000001
111801568,"St. John, Locke",MLB,2022,CHC,1,0,2.0,13.5,0.5989777778,12.211,0.333333,0.2,0.0,0.8,0.5,0.0,0.444444,45.500,37.100,26.900,95.52953818628848
111825027,"Roby, TK",A+,2022,TEX,20,19,95.0,4.93,0.3470521092,5.177,0.291139,0.207692,0.396154,0.3,0.191919,0.083951,0.269136,15.200,27.400,33.000,90.65652900000002
111826250,"Herrera, Jean",Rk,2022,ARI,2,0,3.0,0.0,0.3361428571,-0.442,0.555556,0.0,0.75,0.0,0.0,0.0,0.357143,9.800,28.400,24.000,91.39226399999998
111806957,"Gambrell, Grant",A+,2021,BOS,8,8,32.2,7.16,0.40923375,6.355,0.375,0.264151,0.40566,0.264151,0.242424,0.086957,0.236025,24.000,24.200,32.800,94.61105400000002
109503362,"Cisnero, Jose",A,2022,DET,1,0,0.2,40.5,0.7849166667,12.487,0.6,0.0,0.666667,0.166667,0.0,0.285714,0.0,40.000,0.000,18.800,76.94990052472994
111818434,"Fernandez, Wuardo",Rk-,2021,COL,13,12,43.2,0.82,0.278516763,3.027,0.243478,0.171171,0.477477,0.243243,0.0,0.086207,0.212644,6.200,26.100,23.900,90.141519
111837557,"Povich, Cade",AA,2022,BAL,3,3,16.0,4.5,0.275575,5.222,0.166667,0.1,0.425,0.425,0.210526,0.078125,0.296875,7.500,36.200,26.300,89.050153
53786,"Miller, Justin",AAA,2021,WAS,13,0,16.1,0.55,0.17563,0.319,0.310345,0.266667,0.266667,0.3,0.0,0.064516,0.467742,13.800,28.700,31.700,87.903216
111833331,"Kelly, Antwone",Rk-,2021,PIT,12,12,37.0,4.14,0.3522289308,3.265,0.34,0.229167,0.4375,0.291667,0.0625,0.08805,0.245283,7.100,27.000,29.600,91.88403400000001
111824639,"Stambaugh, Dalton",Rk,2021,CHC,2,0,2.2,6.75,0.29367,4.047,0.333333,0.333333,0.0,0.666667,0.5,0.0,0.6,33.300,57.900,25.900,79.77841730000003
111837456,"Heinecke, Hayes",Rk,2021,STL,3,0,2.2,6.75,0.4619928571,3.291,0.555556,0.1,0.4,0.3,0.0,0.142857,0.214286,0.000,36.400,32.100,71.9758044
111825050,"Laweryson, Cody",A+,2022,MIN,16,2,35.0,2.57,0.2514964789,2.194,0.284091,0.044944,0.438202,0.449438,0.0,0.083916,0.293706,8.000,31.400,32.600,85.41805200000002
111817277,"Sandridge, Jayvien",A+,2022,CIN,9,0,13.0,6.23,0.306047619,4.633,0.217391,0.2,0.44,0.24,0.0,0.269841,0.333333,13.000,38.300,26.800,81.35085150000006
111808711,"Navilhon, Joe",AA,2021,DET,32,0,55.1,2.6,0.2756876652,2.884,0.311594,0.229167,0.305556,0.3125,0.061538,0.065789,0.302632,15.500,22.700,24.500,89.26519159999997
111828114,"Stankiewicz, John",A,2021,MIN,7,4,23.1,2.7,0.2682895833,2.87,0.285714,0.142857,0.492063,0.285714,0.0,0.083333,0.25,7.900,28.400,33.200,90.37286799340875
111815917,"Romero, Tommy",AAA,2021,TB,12,12,62.1,3.18,0.2574218107,3.64,0.222222,0.189542,0.352941,0.313725,0.102941,0.086066,0.286885,20.500,29.400,30.500,91.8595804
111818961,"Plassmeyer, Michael",AA,2021,TB,7,3,29.2,3.64,0.3157903226,3.738,0.3,0.255814,0.302326,0.302326,0.111111,0.055556,0.261905,17.900,25.400,32.300,89.415262
111809618,"Jennings, Steven",A+,2021,PIT,10,1,28.0,4.5,0.3106905172,4.574,0.287356,0.236559,0.387097,0.268817,0.09375,0.042373,0.169492,21.400,18.400,31.000,94.661028
111837723,"Henderson, Logan",Rk,2022,MIL,2,2,2.0,0.0,0.1663333333,-0.609,0.333333,0.0,0.666667,0.333333,0.0,0.0,0.555556,0.000,50.000,25.000,78.290353
111808749,"Sharp, Sterling",AA,2021,WAS,3,3,14.2,1.84,0.2891390625,5.971,0.190476,0.155556,0.688889,0.155556,0.428571,0.09375,0.1875,6.700,28.700,34.700,93.91930400000001
111811163,"Junk, Janson",MLB,2021,ANA,4,4,16.1,3.86,0.3548042857,6.324,0.277778,0.2,0.383333,0.333333,0.208333,0.028169,0.140845,18.600,17.200,31.900,89.354168644848
111837155,"Nunez, Bryant",Rk-,2022,BOS,16,4,29.0,6.52,0.378602069,5.445,0.275362,0.171429,0.442857,0.328571,0.037037,0.248276,0.213793,5.200,28.300,20.500,77.572919
111826467,"Davila, Vladimir",Rk-,2022,CIN,9,6,30.2,3.52,0.3389121212,1.8,0.348837,0.25,0.579545,0.159091,0.133333,0.052632,0.278195,14.800,23.100,31.300,89.916121
